tick,true_log_vol,true_vol,true_hypo,return,is_outlier,outlier_sigma,est_log_vol,est_vol,vol_std,est_hypo,weight_calm,weight_trend,weight_crisis,ess,min_weight,outlier_frac,learned_mu,learned_sigma,latency_us
2307,-3.602454,0.027257,1,0.03759315,0,0.0,-3.128605,0.045927,0.287608,1,0.5941,0.3339,0.0719,294.34,0.0000,0.0084,-3.0050,0.0851,38.70
2308,-3.299027,0.036919,1,-0.01383073,0,0.0,-3.196876,0.042618,0.272206,0,0.6386,0.3055,0.0559,298.71,0.0000,0.0141,-5.0273,0.0502,61.00
2309,-3.247345,0.038877,1,0.03895418,0,0.0,-3.201724,0.042342,0.267955,0,0.6408,0.3005,0.0587,294.54,0.0000,0.0080,-5.0273,0.0502,38.90
2310,-3.384215,0.033904,1,-0.00234881,0,0.0,-3.266132,0.039703,0.269619,0,0.6727,0.2659,0.0614,297.65,0.0000,0.0521,-5.0273,0.0502,68.30
2311,-3.686963,0.025048,1,-0.00482726,0,0.0,-3.331783,0.037165,0.269744,0,0.7126,0.2347,0.0528,298.58,0.0000,0.0280,-5.0273,0.0502,39.30
2312,-3.417057,0.032809,1,-0.00732457,0,0.0,-3.393616,0.034979,0.276563,0,0.6905,0.2496,0.0599,303.59,0.0000,0.0192,-5.0273,0.0502,38.80
2313,-3.459366,0.031450,1,-0.04006978,0,0.0,-3.354740,0.036320,0.269310,0,0.6840,0.2581,0.0579,300.73,0.0000,0.0081,-5.0273,0.0502,39.20
2314,-3.734805,0.023878,1,-0.02898838,0,0.0,-3.368553,0.035845,0.270362,0,0.7081,0.2310,0.0609,300.84,0.0000,0.0078,-5.0273,0.0502,38.90
2315,-3.587502,0.027667,1,0.00669754,0,0.0,-3.433150,0.033585,0.270014,0,0.7383,0.2168,0.0450,297.70,0.0000,0.0194,-5.0273,0.0502,39.10
2316,-3.598759,0.027358,1,0.02198534,0,0.0,-3.466858,0.032414,0.264431,0,0.7648,0.2025,0.0326,291.64,0.0000,0.0078,-5.0273,0.0502,61.00
2317,-3.295337,0.037056,1,0.06143623,0,0.0,-3.309727,0.038114,0.273835,0,0.6716,0.2722,0.0562,294.07,0.0000,0.0143,-5.0273,0.0502,39.00
2318,-3.230222,0.039549,1,0.01164494,0,0.0,-3.373312,0.035615,0.262321,0,0.7226,0.2408,0.0366,287.40,0.0000,0.0132,-5.0273,0.0502,39.00
2319,-3.335088,0.035611,1,0.01671845,0,0.0,-3.423135,0.033779,0.254768,0,0.7541,0.2173,0.0286,280.17,0.0000,0.0094,-5.0273,0.0502,38.80
2320,-3.325364,0.035959,1,-0.04929583,0,0.0,-3.350439,0.036367,0.255920,0,0.7302,0.2313,0.0386,280.11,0.0000,0.0092,-5.0273,0.0502,39.00
2321,-3.096096,0.045225,1,-0.00268919,0,0.0,-3.413517,0.034092,0.252596,0,0.7530,0.2204,0.0266,273.07,0.0000,0.0392,-5.0273,0.0502,61.90
2322,-3.088262,0.045581,1,-0.04253291,0,0.0,-3.374403,0.035436,0.250213,0,0.7504,0.2141,0.0355,271.62,0.0000,0.0080,-5.0273,0.0502,39.10
2323,-2.909801,0.054487,1,0.11416150,0,0.0,-2.929917,0.058174,0.388633,1,0.4463,0.3189,0.2349,184.98,0.0000,0.0909,-2.9070,0.1228,79.40
2324,-2.783395,0.061828,1,-0.02343416,0,0.0,-3.042455,0.051442,0.357603,1,0.5516,0.3114,0.1370,485.83,0.0000,0.0120,-2.9070,0.1228,38.80
2325,-2.618392,0.072920,1,0.01406895,0,0.0,-3.145618,0.045703,0.320742,0,0.6281,0.2921,0.0797,437.77,0.0000,0.0149,-4.9941,0.0569,39.00
2326,-2.525831,0.079992,1,-0.11883188,0,0.0,-2.713639,0.072997,0.414155,1,0.3747,0.3218,0.3035,455.69,0.0000,0.0376,-2.9070,0.1228,38.70
2327,-2.375796,0.092941,1,-0.02672285,0,0.0,-2.838291,0.063773,0.384256,1,0.4746,0.3176,0.2078,476.69,0.0000,0.0136,-2.9070,0.1228,38.80
2328,-2.266534,0.103671,1,0.08905853,0,0.0,-2.700708,0.073448,0.396333,1,0.4229,0.3143,0.2628,442.66,0.0000,0.0127,-2.9070,0.1228,63.10
2329,-2.230548,0.107470,1,0.05489983,0,0.0,-2.747772,0.069536,0.376514,1,0.4777,0.3040,0.2183,439.98,0.0000,0.0098,-2.9070,0.1228,38.90
2330,-2.351198,0.095255,1,0.04169623,0,0.0,-2.822249,0.063823,0.348483,1,0.5285,0.3067,0.1648,428.87,0.0000,0.0099,-2.9070,0.1228,38.70
2331,-2.366398,0.093818,1,0.04062158,0,0.0,-2.885513,0.059234,0.320215,1,0.5712,0.3231,0.1057,411.78,0.0000,0.0092,-2.9070,0.1228,38.70
2332,-2.497215,0.082314,1,-0.04560055,0,0.0,-2.923995,0.056481,0.297076,1,0.6081,0.3194,0.0725,396.70,0.0000,0.0084,-2.9070,0.1228,56.30
