tick,true_log_vol,true_vol,true_hypo,return,is_outlier,outlier_sigma,est_log_vol,est_vol,vol_std,est_hypo,weight_calm,weight_trend,weight_crisis,ess,min_weight,outlier_frac,learned_mu,learned_sigma,latency_us
3888,-1.640358,0.193911,2,-0.12965658,0,0.0,-1.295136,0.318508,0.176196,2,0.3156,0.3374,0.3470,505.13,0.3156,0.0213,-2.4841,0.3867,165.40
3889,-1.420272,0.241648,2,0.32940187,0,0.0,-1.141720,0.356494,0.168065,1,0.3313,0.3384,0.3303,508.65,0.3303,0.0194,-2.5000,0.3500,165.80
3890,-2.263771,0.103958,2,0.10895636,0,0.0,-1.399730,0.284815,0.153265,2,0.3218,0.3379,0.3403,505.97,0.3218,0.0221,-2.5821,0.3877,236.10
3891,-2.348765,0.095487,2,0.05932024,0,0.0,-1.726494,0.212457,0.126776,2,0.3194,0.3395,0.3412,499.04,0.3194,0.0275,-2.6239,0.3889,184.90
3892,-2.072339,0.125891,2,-0.25156733,0,0.0,-1.464016,0.258773,0.122910,1,0.3268,0.3390,0.3342,507.59,0.3268,0.0213,-2.5000,0.3500,187.60
3893,-1.846849,0.157733,2,0.23703977,0,0.0,-1.391688,0.275279,0.124318,1,0.3350,0.3400,0.3250,510.07,0.3250,0.0175,-2.5000,0.3500,218.10
3894,-2.458701,0.085546,2,-0.00264504,0,0.0,-1.632749,0.229791,0.131158,2,0.2207,0.3381,0.4412,474.41,0.2207,0.2307,-2.4905,0.3889,182.70
3895,-2.156422,0.115738,2,-0.11545672,0,0.0,-1.752380,0.199967,0.106757,2,0.2565,0.3426,0.4009,508.63,0.2565,0.0190,-2.5415,0.3898,167.00
3896,-1.949339,0.142368,2,-0.07763854,0,0.0,-1.949190,0.165558,0.090748,2,0.2829,0.3455,0.3716,504.66,0.2829,0.0203,-2.4761,0.3876,166.10
3897,-1.900552,0.149486,2,0.05138828,0,0.0,-2.192240,0.131910,0.075983,2,0.3044,0.3475,0.3481,498.44,0.3044,0.0223,-2.3712,0.3837,165.50
3898,-1.896891,0.150034,2,-0.01112402,0,0.0,-2.556248,0.097160,0.065247,1,0.3176,0.3472,0.3352,501.59,0.3176,0.0527,-2.5000,0.3500,164.20
3899,-1.488662,0.225674,2,-0.22727367,0,0.0,-1.853795,0.176233,0.086565,2,0.2918,0.3449,0.3632,447.90,0.2918,0.0421,-2.2320,0.3852,165.90
3900,-1.092444,0.335396,2,0.66275480,0,0.0,-1.195140,0.339271,0.162825,2,0.2686,0.3309,0.4005,447.84,0.2686,0.1086,-2.1877,0.3879,171.10
3901,-1.078711,0.340034,2,-0.01830594,0,0.0,-1.533228,0.258700,0.158535,2,0.2329,0.3347,0.4324,489.85,0.2329,0.0778,-2.2689,0.3894,164.40
3902,-1.209254,0.298420,2,-0.09169677,0,0.0,-1.774058,0.201136,0.117819,2,0.2531,0.3446,0.4023,503.62,0.2531,0.0212,-2.1744,0.3865,165.30
3903,-1.408334,0.244550,2,-0.07939914,0,0.0,-1.986447,0.161127,0.091175,2,0.2722,0.3484,0.3794,504.22,0.2722,0.0200,-2.1822,0.3881,164.80
3904,-1.263075,0.282783,2,-0.29307416,0,0.0,-1.539967,0.237999,0.109086,2,0.3026,0.3425,0.3549,473.66,0.3026,0.0318,-2.2640,0.3898,168.10
3905,-2.347864,0.095573,2,0.19213932,0,0.0,-1.530841,0.240283,0.110113,1,0.3202,0.3438,0.3361,510.38,0.3202,0.0172,-2.5000,0.3500,180.30
3906,-2.868382,0.056791,2,-0.04865206,0,0.0,-1.831395,0.187161,0.104466,2,0.3142,0.3425,0.3433,494.98,0.3142,0.0290,-2.1094,0.3839,181.10
3907,-2.539823,0.078880,2,-0.01699738,0,0.0,-2.209627,0.135403,0.087764,2,0.3071,0.3398,0.3531,488.89,0.3071,0.0495,-2.0101,0.3813,173.90
3908,-1.790480,0.166880,2,-0.10676590,0,0.0,-2.112147,0.138671,0.072195,1,0.3169,0.3436,0.3395,510.43,0.3169,0.0189,-2.5000,0.3500,175.30
3909,-1.548972,0.212466,2,-0.15064039,0,0.0,-1.943111,0.159283,0.073179,1,0.3291,0.3453,0.3256,509.25,0.3256,0.0194,-4.0000,0.3500,166.00
3910,-2.129993,0.118838,2,0.00480096,0,0.0,-2.233469,0.127371,0.074787,2,0.2714,0.3376,0.3909,492.74,0.2714,0.1162,-2.2178,0.3835,162.80
3911,-1.903910,0.148985,2,-0.04273322,0,0.0,-2.496684,0.098029,0.057455,2,0.2923,0.3393,0.3684,493.62,0.2923,0.0211,-2.2960,0.3811,169.00
